"Branch","Store Code","Model Name","Model (SKU)","Sale","Return","Stock"
"AKLUJ","2221556","APPLE iPhone XR - 128GB Black","MH7L3HN/A","0","0","1"
"AKLUJ","2221556","APPLE iPhone 11 - 64GB Black","MHDA3HN/A","1","0","0"
"AKLUJ","2221556","APPLE iPhone 11 - 128GB Green","MHDN3HN/A","1","0","0"
"AKLUJ","2221556","APPLE iPhone 12 - 128GB Black","MGJA3HN/A","0","0","1"
"AKLUJ","2221556","APPLE AirPods with Charging Case (MV7N2HN/A) White ","MV7N2HN/A","0","0","1"
"AKLUJ","2221556","APPLE AirPods pro with Wireless Charging Case (MWP22HN/A) White","MWP22HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone 13 -  128GB  Pink","MLPH3HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone 13 Pro Max -  128GB  Gold","MLL83HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPad WiFi + Cell 10.2 Inch (9th  Generation) -  64GB  Space Grey - MK473HN/A","MK473HN/A","0","0","1"
"BALAJI NAGAR","2221568","APPLE iPhone 11 - 128GB White","MHDJ3HN/A","0","0","1"
"BALAJI NAGAR","2221568","APPLE iPhone 11 - 64GB Black","MHDA3HN/A","0","0","1"
"BALAJI NAGAR","2221568","APPLE iPhone 11 - 128GB Green","MHDN3HN/A","0","0","1"
"BALAJI NAGAR","2221568","APPLE AirPods with Charging Case (MV7N2HN/A) White ","MV7N2HN/A","0","0","1"
"BALAJI NAGAR","2221568","APPLE iPhone 13 -  128GB  Blue","MLPK3HN/A","1","0","0"
"BARSHI","2472710","APPLE iPhone 11 - 128GB White","MHDJ3HN/A","0","0","1"
"BARSHI","2472710","APPLE iPhone 13 Pro -  1TB  Silver","MLVW3HN/A","1","0","0"
"BINDU CHOWK","2221551","APPLE iPhone 11 - 128GB Green","MHDN3HN/A","1","0","0"
"CHIPLUN 1","2221552","APPLE iPhone 12 Mini - 128GB White","MGE43HN/A","0","0","1"
"CHIPLUN 1","2221552","APPLE AirPods with Charging Case (MV7N2HN/A) White ","MV7N2HN/A","0","0","1"
"CHIPLUN 2","2399356","APPLE iPhone 11 - 128GB Green","MHDN3HN/A","1","0","0"
"CHIPLUN 2","2399356","APPLE iPhone 12 - 128GB Black","MGJA3HN/A","1","0","0"
"CHIPLUN 2","2399356","APPLE AirPods with Charging Case (MV7N2HN/A) White ","MV7N2HN/A","0","0","1"
"CHIPLUN 2","2399356","APPLE iPhone 13 -  128GB  Midnight","MLPF3HN/A","1","0","0"
"GADHINGLAJ","2221558","APPLE iPhone 11 - 128GB Black","MHDH3HN/A","1","0","0"
"GADHINGLAJ","2221558","APPLE iPhone 11 - 64GB Black","MHDA3HN/A","0","0","1"
"GADHINGLAJ","2221558","APPLE iPhone 12 -  128GB  Purple","MJNP3HN/A","1","0","0"
"GADHINGLAJ","2221558","APPLE iPhone 13 -  128GB  Starlight","MLPG3HN/A","1","0","0"
"GANDHINAGAR","2239262","APPLE iPhone 11 - 128GB Black","MHDH3HN/A","0","0","1"
"GANDHINAGAR","2239262","APPLE iPhone XR - 128GB Black","MH7L3HN/A","0","0","1"
"GANDHINAGAR","2239262","APPLE iPhone 11 - 64GB Black","MHDA3HN/A","0","0","1"
"GANDHINAGAR","2239262","APPLE iPhone 11 - 128GB Green","MHDN3HN/A","0","0","1"
"GANDHINAGAR","2239262","APPLE iPhone 11 - 64GB Green","MHDG3HN/A","1","0","0"
"GANDHINAGAR","2239262","APPLE iPhone 12 - 128GB Black","MGJA3HN/A","0","0","1"
"GANDHINAGAR","2239262","APPLE iPhone 12 Pro Max - 128GB Silver","MGD83HN/A","1","0","0"
"GANDHINAGAR","2239262","APPLE Watch Series 6 GPS + Cellular 44mm Space Grey Aluminium Case with Black Sport Band - MG2E3HN/A","MG2E3HN/A","1","0","0"
"GANDHINAGAR","2239262","APPLE AirPods with Charging Case (MV7N2HN/A) White ","MV7N2HN/A","1","0","2"
"GANDHINAGAR","2239262","APPLE AirPods pro with Wireless Charging Case (MWP22HN/A) White","MWP22HN/A","0","0","2"
"GANDHINAGAR","2239262","APPLE iPhone 13 -  128GB  Pink","MLPH3HN/A","1","0","0"
"GANDHINAGAR","2239262","APPLE iPhone 13 Mini -  128GB  Starlight","MLK13HN/A","1","0","0"
