"202021SHAH13415","500","500"
"202021SHAH13471","30600","15300"
"202021SHAH14488","8500","8500"
"202021SHAH14289","28000","28000"
"202021SHAH16272","92000","46000"
"201920SHAH04022","12800","6400"
"201920SHAH04731","13920","13920"
"201920SHAH05468","4200","4200"
"202021SHAH00686","1000","1000"
"202021SHAH00836","5000","5000"
"202021SHAH04295","1400","1400"
"202021SHAH04362","33000","33000"
"202021SHAH05735","6000","6000"
"202021SHAH05889","1400","1000"
"202021SHAH09743","70000","70000"
"202021SHAH10449","12000","12000"
"202021SHAH11502","183980","27080"
"202021SHAH11765","24500","24500"
"202021SHAH13067","1000","1000"
"202021SHAH13315","172000","86000"
"202021SHAH14257","10000","6160"
"202021SHAH15501","15600","15600"
"202021SHAH15622","95970","31990"
"202021SHAH16353","15000","15000"
"202021SHAH11494","5999","5999"
"202021SHAH12339","1500","1500"
"202021SHAH12812","32200","16100"
"202021SHAH13171","23140","23140"
"202021SHAH13816","6000","6000"
"202021SHAH14232","70000","70000"
"202021SHAH15843","14500","14500"
"202021SHAH15942","276000","64960"
"202021SHAH16393","12000","6000"
"202021SHAH12650","5500","5500"
"202021SHAH12813","16100","16100"
"202021SHAH15775","112000","30000"
"202021SHAH16173","17000","6000"
"202021SHAH13332","6000","6000"
"202021SHAH13815","10300","10300"
"202021SHAH14361","35500","35500"
"202021SHAH15233","1200","1200"
"202021SHAH16171","22000","22000"
"202021SHAH16291","65000","65000"
"20-21/RANK/02881","160000","40000"
"20-21/VIT1/02573","8500","8500"
"20-21/SHAH/16435","21600","21600"
"20-21/SHAH/16437","2200","2200"
"20-21/RAT3/02631","4800","4800"
"20-21/SOP4/03362","1800","1800"
"20-21/SOP4/03363","1200","1200"
"20-21/RAT1/03555","9900","9900"
"20-21/RAT1/03556","17790","17790"
"20-21/SHAH/16451","186000","93000"
"20-21/RAT1/03559","11580","11580"
"20-21/RAT1/03561","11000","11000"
"20-21/vadu/00984","21513","21513"
"20-21/RAT1/03562","17200","17200"
"20-21/RAT2/09640","1200","1200"
"20-21/RAT1/03563","300","300"
"20-21/RAT1/03564","1000","1000"
"20-21/KAN1/04415","3700","3700"
"20-21/ICH1/05820","6000","6000"
"20-21/vadu/00988","1000","1000"
"20-21/PANJ/02299","5800","5800"
"20-21/RAT1/03565","17500","17500"
"20-21/KRD3/01848","16371","16371"
"20-21/VSCO/01002","49900","49900"
"20-21/PAND/04668","9000","9000"
"20-21/KRD3/01860","1100","1100"
"20-21/KRD3/01861","7700","7700"
"20-21/PAND/04670","7800","7800"
"20-21/RAJ2/07324","600","600"
"20-21/INDA/02048","15917","15917"
"202021NAS200938","3345","3345"
"20-21/PETV/04242","15100","15100"
"20-21/RAT1/03570","6426","6426"
"20-21/RAT1/03571","13000","13000"
"20-21/RAT1/03572","21000","21000"
"20-21/RAT1/03574","50000","25000"
"202021AKKL00548","12990","12990"
"202021INDA01900","4446","4446"
"202021INDA01928","6800","6800"
"202021INDA01972","30000","30000"
"202021INDA02012","3550","3550"
"202021KANW00218","14500","14500"
"202021LATU02984","5200","5200"
"202021PAND04409","25500","25500"
"202021PAND04552","3500","3500"
"202021GOWE00081","129900","31449"
"202021SOL104561","274000","137000"
"202021OSHI00341","34000","34000"
"202021OSHI00326","22282","22282"
"202021OSHI00342","87200","43600"
"202021CHI104590","7200","7200"
"202021CHI104592","11000","11000"
"202021CHI104634","11000","11000"
"202021CHI104665","12500","12500"
"202021CHI104802","7000","7000"
"202021CHI104866","1200","1200"
"202021CHI104867","10300","10300"
"202021CHI104868","11300","11300"
"202021CHI105217","3300","3300"
"20-21/PETV/04244","1000","1000"
"202021KANK03219","4800","4800"
"202021SOL402934","10500","10500"
"202021SOL403001","17800","17800"
"202021SOL403065","1300","1300"
"202021SOL403096","17200","17200"
"202021SOL403332","379996","94999"
"202021SOL403357","164997","54999"
"202021SOL403358","5000","5000"
"20-21/PETV/04246","6500","6500"
"202021KHED00399","300","300"
"202021KHED00444","5999","5999"
"202021KHED00443","6000","6000"
"20-21/RAJ2/07337","42700","42700"
"20-21/vadu/00993","1000","1000"
"20-21/AKLJ/03522","4230","4230"
"20-21/REM1/00505","13000","13000"
"20-21/RAT1/03582","13000","13000"
"20-21/SONG/02986","67500","22500"
"20-21/RAT1/03583","1500","1500"
"20-21/PIMP/04571","33000","33000"
"20-21/SAN1/16496","18359","18359"
"20-21/SAT1/06474","2900","2900"
"20-21/BARS/02778","236000","59000"
"20-21/RANK/02898","7900","7900"
"20-21/SOP1/04615","67000","67000"
"20-21/SAT1/06482","150","150"
"20-21/SHAH/16536","68000","68000"
"20-21/SOP4/03391","3000","3000"
"20-21/RANK/02901","33200","8300"
"20-21/SHAH/16542","15000","15000"
"20-21/PETV/04272","210560","52640"
"202021BALJ00051","31600","15800"
"202021BALJ01173","300","300"
"202021BALJ01174","300","300"
"202021BALJ01175","300","300"
"202021BALJ01176","300","300"
"202021BALJ01177","300","300"
"202021BALJ01178","300","300"
"202021BALJ01179","300","300"
"202021BALJ01180","300","300"
"202021BALJ01181","300","300"
"202021BALJ01183","300","300"
"202021BALJ01184","300","300"
"202021BALJ01185","300","300"
"202021BALJ01186","300","300"
"202021BALJ01187","300","300"
"202021BALJ01716","4500","4500"
"202021BALJ01719","6000","6000"
"202021BALJ01723","500","500"
"202021BALJ01724","1200","1200"
"202021BALJ01725","300","300"
"202021BALJ01726","300","300"
"202021BALJ01727","300","300"
"202021BALJ01728","300","300"
"202021BALJ02228","14999","14999"
"202021BALJ02422","12200","12200"
"202021BALJ02423","10700","10700"
"202021BALJ02424","9300","9300"
"202021BALJ02425","9000","9000"
"202021BHSR00745","17000","17000"
"202021BHSR00746","28000","14000"
"202021BHSR00751","11200","11200"
"202021BHSR00752","21700","21700"
"202021BHSR00753","1250","1250"
"202021BHSR00762","24600","12300"
"202021BHSR00771","11100","11100"
"202021BHSR00772","12300","12300"
"202021BHSR00796","44000","22000"
"202021BHSR00815","34200","17100"
"202021BHSR00817","27600","9200"
"202021BHSR00820","34000","17000"
"202021BHSR00821","54900","18300"
"202021BHSR00822","28000","14000"
"202021HADP01184","1399","1399"
"202021HADP01185","16800","16800"
"202021HADP01186","28000","14000"
"202021HADP01194","9900","9900"
"202021HADP01195","650","650"
"202021HADP01686","795","795"
"202021HADP01757","950","950"
"20-21/MUDT/03000","20000","20000"
"20-21/RAT1/03593","11000","11000"
"20-21/PETV/04278","11000","11000"
"202021KUDL04819","16000","16000"
"202021KUDL04888","2200","2200"
"202021JMRD03383","13000","13000"
"202021JMRD03443","37999","37999"
"202021JMRD05390","21966","21966"
"202021CHI205760","5000","5000"
"202021CHI205855","2000","2000"
"202021CHI205937","43000","43000"
"202021CHI205962","15300","15300"
"202021CHI205969","11600","11600"
"202021CHI205988","11500","11500"
"202021CHI206036","4150","4150"
"202021CHI206046","4500","4500"
"202021CHI206103","53500","53500"
"202021CHI206260","5700","5700"
"202021CHI206352","4500","4500"
"202021NAG103820","1500","1500"
"202021NAG103729","3600","3600"
"202021NAG103789","2500","2500"
"202021CHI303181","1825","1825"
"202021CHI303163","3446","3446"
"202021CHI303152","515600","128900"
"202021CHI303143","5529","5529"
"202021CHI303145","8000","8000"
"202021CHI303061","8500","8500"
"202021CHI303033","5300","5300"
"202021CHI303035","6600","6600"
"202021CHI303003","26490","26490"
"202021CHI302905","23316","11658"
"202021NAG201616","3800","3800"
"202021NAG201617","1450","1450"
"202021NAG201618","300","300"
"202021NAG201619","300","300"
"202021NAG201620","300","300"
"202021NAG201865","58750","58750"
"20-21/PETV/04282","4400","2200"
"201920NAG301094","2142","1071"
"202021NAG305031","14000","14000"
"202021NAG305155","3500","3500"
"202021NAG305157","3500","3500"
"20-21/CHI3/03239","27657","9219"
"202021PANJ02240","18000","18000"
"202021PIMP02097","25500","25500"
"202021PIMP02098","25500","25500"
"202021PIMP02099","15999","15999"
"202021PIMP02100","2300","2300"
"202021PIMP04492","5000","5000"
"202021PIMP04498","2500","1250"
"202021PIMP04501","14500","14500"
"202021PIMP04505","3400","3400"
"202021RAT209533","2200","2200"
"202021RAT208056","6800","6800"
"202021RAT208495","7000","7000"
"202021RAT209414","11800","11800"
"202021RAT206835","12000","12000"
"202021RAT206836","12000","12000"
"202021RAT206837","12000","12000"
"202021RAT206838","12000","12000"
"202021RAT208494","26500","26500"
"202021RAT209545","37000","37000"
"202021RAHU00814","4297","4297"
"202021RAHU00873","9470","9470"
"202021RAHU00881","85200","28400"
"202021RAHU00885","15000","15000"
"202021RAHU00935","1490","1490"
"202021RAHU00937","4170","4170"
"202021RAHU00978","5500","5500"
"202021SADA01616","1500","1500"
"202021SANG03279","45500","40000"
"202021SANG05228","10000","10000"
"20-21/ICH1/05869","45500","45500"
"20-21/TASG/00685","2000","2000"
"20-21/KUDL/05434","57000","57000"
"20-21/vadu/01007","24416","24416"
"20-21/MAR1/04451","24899","24899"
"20-21/SAT1/06492","3400","1700"
"202021STR304118","1800","1800"
"202021STR304129","1700","1700"
"202021STR304170","149000","149000"
"202021STR304173","1500","1500"
"202021STR304221","13000","13000"
"202021STR304239","2992","2992"
"202021STR304267","7000","7000"
"202021STR304301","2200","2200"
"202021SAT202891","4413","4413"
"202021SAT202905","11500","11500"
"202021SAT202906","45600","45600"
"202021SAT202907","7600","7600"
"202021SAT202908","5700","5700"
"202021SAT203221","3000","3000"
"202021SAT203287","300","300"
"20-21/PIMP/04585","63000","63000"
"20-21/PIMP/04586","35500","35500"
"202021MARG02761","4200","4200"
"202021MARG04227","16000","16000"
"202021MARG04284","5000","5000"
"20-21/RANK/02907","800","800"
"20-21/INDA/02061","4000","4000"
"20-21/SAT1/06497","200","200"
"202021WAI102679","5500","5500"
"20-21/KAGL/05150","1500","1500"
"202021SAT105813","200","200"
"202021SAT106101","2000","2000"
"202021SAT106286","72000","24000"
"202021SAT106349","500","500"
"202021SAT106371","400","200"
"202021PLT102667","14300","14300"
"202021PLT102781","12000","12000"
"202021PLT102819","8000","8000"
"202021PLT102839","9800","9800"
"202021PLT102890","46000","46000"
"202021PLT102982","14000","14000"
"202021PLT103028","10000","10000"
"202021PLT103039","8200","8200"
"202021PLT103040","8200","8200"
"202021PLT103041","11200","11200"
"202021PLT103042","11200","11200"
"202021PLT103043","15000","15000"
"202021PLT103044","2075","2075"
"202021PLT103302","23500","23500"
"202021PLT103304","9800","9800"
"202021PLT103305","5200","5200"
"202021PLT103398","1000","1000"
"202021PLT103538","21000","21000"
"202021PLT103539","21000","21000"
"202021PLT103540","13500","13500"
"202021PLT103541","13500","13500"
"202021PLT103559","25500","25500"
"202021PLT103562","15000","15000"
"202021PLT103565","17200","17200"
"202021PLT103575","3671","3671"
"202021PLT103659","24000","24000"
"202021PLT103663","12600","12600"
"202021PLT104367","23800","23800"
"202021PLT104490","15000","15000"
"202021KORE02888","34500","34500"
"202021KORE02945","16000","16000"
"202021KRD301562","20000","20000"
"202021KRD301658","5500","5500"
"202021KRD301692","1300","1300"
"202021KRD301733","2788","2788"
"202021KRD301786","4452","4452"
"202021KRD301796","2700","2700"
"202021KAR202451","2200","2200"
"202021KAR202592","800","800"
"202021KAR202607","28500","28500"
"202021KAR202613","2700","2700"
"202021KAR202650","1200","1200"
"202021KAR202653","14000","14000"
"202021KAR202685","7800","7800"
"202021KAR105794","7200","7200"
"202021ISL202608","5000","5000"
"202021ISL202749","6120","6120"
"20-21/CHI2/06462","10000","10000"
"20-21/PETV/04290","1730","1730"
"20-21/SHAH/16571","3800","3800"
"20-21/PETV/04292","17500","17500"
"20-21/SOP3/02739","132000","66000"
"20-21/KAVM/02313","13900","13900"
"20-21/INDA/02065","2400","2400"
"202021ISL103575","15000","15000"
"202021ISL103607","14500","14500"
"20-21/REM1/00512","5000","5000"
"20-21/SHAH/16587","65000","65000"
"20-21/vadu/01012","6450","6450"
"20-21/CHI3/03247","5000","5000"
"20-21/INDA/02067","3115","3115"
"20-21/SHAH/16589","138000","69000"
"20-21/SAN1/16590","32900","32900"
"20-21/PAND/04722","6517","6517"
"20-21/ICH1/05895","20704","20704"
"20-21/PLUS/02027","14500","14500"
"20-21/BICW/04545","7500","7500"
"20-21/SOP1/04643","50000","25000"
"20-21/SONG/02998","2000","2000"
"20-21/SONG/03000","2000","2000"
"20-21/SOP4/03416","11200","5600"
"20-21/SHAH/16606","10800","10800"
"20-21/RAJ1/04280","1000","1000"
"20-21/KAN2/02215","3900","3900"
"20-21/SAN1/16621","9600","9600"
"20-21/SHAH/16615","57500","57500"
"20-21/HADP/02038","3000","3000"
"20-21/LAT1/03106","24300","24300"
"20-21/OSHI/00385","26990","26990"
"20-21/SOP1/04654","129900","129900"
"20-21/SHAH/16625","31000","31000"
"20-21/RAT2/09739","11249","11249"
"20-21/ICH1/05919","3800","3800"
"20-21/SAN1/16655","11000","11000"
"20-21/PETV/04306","7700","7700"
"20-21/BICW/04558","7300","7300"
"20-21/SAN3/03430","1200","300"
"20-21/SAN1/16681","136000","68000"
"20-21/MUDT/03029","3200","3200"
"20-21/PLUS/02036","1500","1500"
"20-21/INDA/02073","9000","9000"
"20-21/BICW/04564","10340","10340"
"20-21/PETV/04309","14630","14630"
"20-21/BICW/04565","13000","13000"
"20-21/SHAH/16663","800","800"
"20-21/BICW/04566","16500","16500"
"20-21/MRJ2/03081","5000","5000"
"20-21/SOP3/02761","2944","2944"
"20-21/SHAH/16666","447000","112400"
"20-21/TASG/00699","11199","11199"
"20-21/RAT1/03617","26600","26600"
"20-21/NAG2/01919","9850","9850"
"20-21/PANJ/02338","30000","30000"
"20-21/SAN1/16712","21300","21300"
"20-21/SAN1/16713","10500","10500"
"20-21/SAN1/16714","10500","10500"
"20-21/SAN1/16715","10500","10500"
"20-21/BICW/04570","12200","12200"
"20-21/BICW/04572","6600","3300"
"20-21/LAT2/03550","700","700"
"20-21/LAT2/03551","2300","2300"
"20-21/BICW/04573","11200","11200"
"20-21/SOP4/03437","19600","9800"
"20-21/SHAH/16689","252000","126000"
"20-21/KAN2/02227","2000","2000"
"20-21/SAN1/16735","146000","146000"
"20-21/SHAH/16694","7700","7700"
"20-21/RANK/02940","3500","3500"
"20-21/HPRI/00941","5000","5000"
"20-21/RAT2/09772","7600","7600"
"20-21/PETV/04317","2900","2900"
"20-21/NAS3/00853","11200","11200"
"20-21/SOP3/02774","6200","6200"
"20-21/NAG2/01928","4000","4000"
"20-21/SOP4/03445","7000","7000"
"20-21/SOP1/04683","19770","19770"
"20-21/RAMW/00334","12200","12200"
"20-21/KHED/00504","11300","11300"
"20-21/PAND/04767","5100","2550"
"20-21/ICH1/05959","28300","28300"
"20-21/ICH1/05963","14500","14500"
"20-21/KAR2/02733","12300","12300"
"20-21/HPRI/00947","12000","12000"
"20-21/KAGL/05211","16000","8000"
"20-21/KAGL/05212","5500","5500"
"20-21/ICH1/05966","49500","49500"
"20-21/vadu/01036","1500","1500"
"20-21/SAN1/16784","5000","5000"
"20-21/KAVM/02327","5592","5592"
"20-21/INDA/02082","9000","9000"
"20-21/RANK/02946","100","100"
"20-21/SOP1/04692","82170","82170"
"20-21/RANK/02948","100","100"
"20-21/RANK/02949","12600","6300"
"20-21/SOP3/02785","42999","42999"
"20-21/ICH1/05975","14165","14165"
"20-21/MUDT/03043","11000","11000"
"20-21/MUDT/03044","3800","3800"
"20-21/PETV/04325","18888","18888"
"20-21/INDA/02083","73500","73500"
"20-21/CHI3/03268","12990","12990"
"20-21/INDA/02084","52100","52100"
"20-21/KRD3/01927","25000","25000"
"20-21/RAT1/03636","9500","9500"
"20-21/GDRW/00004","171000","171000"
"20-21/BICW/04591","12400","12400"
"20-21/RANK/02953","200","200"
"20-21/PETV/04331","7990","7990"
"20-21/PETV/04332","9700","9700"
"20-21/SHAH/16759","20500","20500"
"20-21/SHAH/16760","15600","15600"
"20-21/RAHU/01062","29180","14590"
"20-21/SHAH/16761","15200","15200"
"20-21/SAN1/16833","11700","11700"
"20-21/RAT1/03638","30000","30000"
"20-21/KAGL/05223","7300","7300"
"20-21/SHRM/01516","16700","16700"
"20-21/KAGL/05225","79000","39500"
"20-21/LAT1/03140","18000","18000"
"20-21/KAGL/05226","6000","6000"
"20-21/PETV/04333","33500","33500"
"20-21/SOP2/06500","850","850"
"20-21/SOP2/06501","850","850"
"20-21/SOP4/03466","850","850"
"20-21/SOP4/03467","850","850"
"20-21/VIT1/02634","14000","14000"
"20-21/SHAH/16774","43000","43000"
"20-21/SHAH/16776","10000","10000"
"20-21/SHAH/16777","30000","30000"
"20-21/SHAH/16783","273000","91000"
"20-21/KAGL/05230","13500","13500"
"20-21/PAND/04799","8000","8000"
"20-21/RAT1/03643","8900","8900"
"20-21/RAT1/03645","59800","29900"
"20-21/NAK1/01009","1000","1000"
"20-21/CHI3/03285","9900","9900"
"202021NAG201567","5000","5000"
"20-21/LAT2/03579","14000","14000"
"202021vadu00503","42000","42000"
"202021vadu00513","33000","33000"
"202021vadu00619","11000","11000"
"202021vadu00696","8500","8500"
"202021vadu00698","6111","6111"
"202021vadu00824","15000","15000"
"202021vadu00841","200","200"
"202021vadu00844","74000","74000"
"202021vadu00894","16000","16000"
"202021vadu00921","6000","6000"
"202021vadu00928","9000","9000"
"202021vadu00943","1000","1000"
"202021vadu00950","10000","10000"
"202021vadu00953","30450","30450"
"202021vadu00961","7800","3900"
"202021vadu00965","1700","1700"
"20-21/RAJ2/07490","3000","3000"
"20-21/ISL1/03814","100000","100000"
"20-21/KAN2/02278","5800","5800"
"20-21/KAN2/02279","5800","5800"
"20-21/KAN2/02280","5800","5800"
"20-21/GNDH/04773","164000","82000"
"20-21/WAI1/02895","200","200"
"20-21/SAN3/03461","600","300"
"20-21/KAGL/05235","7000","7000"
"20-21/GNDH/04777","52500","17500"
"20-21/ICH1/06005","9200","9200"
"20-21/KUDL/05506","19881","19881"
"20-21/RAHU/01068","67000","67000"
"202021KAN202099","950","950"
"202021KAN202097","15000","15000"
"20-21/GDRW/00005","224000","224000"
"20-21/SHAH/16813","7500","7500"
"20-21/MUDT/03060","3500","3500"
"20-21/SAN1/16878","8000","8000"
"20-21/GDRW/00006","162000","162000"
"20-21/GDRW/00007","228000","228000"
"20-21/GDRW/00008","306000","153000"
"20-21/SOP4/03482","2000","2000"
"20-21/PAND/04830","3000","3000"
"20-21/KUDL/05512","2000","2000"
"20-21/KUDL/05513","10649","10649"
"20-21/SHAH/16833","40500","40500"
"20-21/CHI2/06578","1800","1800"
"20-21/SHAH/16841","17000","17000"
"20-21/SHAH/16842","17000","17000"
"20-21/SHAH/16843","17000","17000"
"20-21/CHI1/05408","58000","58000"
"20-21/SHAH/16844","17000","17000"
"20-21/MUDT/03069","23500","23500"
"20-21/SHAH/16851","19100","19100"
"20-21/SHAH/16852","27500","27500"
"20-21/BHSR/00895","47000","23500"
"20-21/NAG3/05323","19000","19000"
"20-21/LAT1/03160","9990","9990"
"20-21/SAN1/16925","60000","30000"
"20-21/INDA/02099","250000","125000"
"20-21/INDA/02100","300","300"
"20-21/SHAH/16860","3600","3600"
"21-22/RAJ2/07515","30050","30050"
"20-21/RAJ1/04343","1100","1100"
"20-21/MUDT/03075","3700","3700"
"20-21/RAJ2/07521","5300","5300"
"20-21/RAMW/00356","2984","2984"
"20-21/SAN1/16934","29500","29500"
"20-21/SAT3/04457","20000","20000"
"20-21/OSHI/00417","250400","125200"
"20-21/INDA/02101","1200","1200"
"20-21/CHI3/03303","690000","69000"
"20-21/GNDH/04803","46000","23000"
"20-21/vadu/01078","1100","1100"
"20-21/RAT1/03675","8445","8445"
"20-21/RAT1/03676","12509","12509"
"20-21/RAJ2/07535","2862","1431"
"20-21/KAVM/02347","2500","2500"
"20-21/SOP4/03494","43600","21800"
"20-21/RAT1/03678","3600","3600"
"20-21/PNDA/00936","27499","27499"
"20-21/PAND/04863","14200","14200"
"20-21/KAGL/05262","15000","15000"
"20-21/SHAH/16905","15500","15500"
"20-21/SHAH/16906","21000","21000"
"20-21/vadu/01084","4550","4550"
"20-21/RAJ2/07542","2200","2200"
"20-21/RANK/02975","100","100"
"20-21/CHI3/03311","20000","20000"
"20-21/AKKL/00786","84000","42000"
"20-21/KRD3/01964","15000","15000"
"20-21/HPRI/00964","15300","15300"
"20-21/SAN1/16999","137500","137500"
"20-21/SAN3/03499","500","500"
"20-21/SHAH/16940","126500","126500"
"20-21/PETV/04372","13600","13600"
"20-21/SAN3/03500","700","350"
"20-21/GNDH/04821","17000","17000"
"20-21/GNDH/04822","62000","31000"
"20-21/NAG3/05357","19500","19500"
"20-21/SOP4/03507","3000","3000"
"20-21/KRD3/01968","29091","29091"
"20-21/vadu/01092","20000","20000"
"20-21/SAN1/17033","127000","127000"
"20-21/PIMP/04746","800","800"
"20-21/PAND/04884","27000","27000"
"20-21/OSHI/00462","11000","11000"
"20-21/OSHI/00463","11000","11000"
"20-21/OSHI/00464","11000","11000"
"20-21/BHSR/00908","12300","12300"
"20-21/VASW/00294","25000","12500"
"20-21/BHSR/00909","24000","12000"
"20-21/PAND/04885","15500","15500"
"20-21/RAMW/00362","2563","2563"
"20-21/TASG/00733","25000","25000"
"20-21/RAMW/00363","3900","3900"
"20-21/vadu/01093","11000","11000"
"20-21/PIMP/04753","35000","35000"
"20-21/RANK/02982","500","500"
"20-21/RANK/02984","6450","6450"
"20-21/SAN1/17078","90000","90000"
"20-21/KAVM/02354","8000","8000"
"20-21/SOP1/04746","16500","16500"
