"202021SHAH11237","63","17500","17500","17500"
"202021SHAH11712","63","4200","4200","4200"
"202021SHAH13965","63","42500","38000","38000"
"202021SHAH14668","63","83000","83000","83000"
"202021SHAH14754","63","126000","126000","126000"
"202021SHAH15167","63","14200","14200","14200"
"202021SHAH09407","63","7000","7000","7000"
"202021SHAH10073","63","7999","7999","7999"
"202021SHAH15470","63","18000","18000","18000"
"202021SHAH15898","63","129900","129900","129900"
"202021SHAH15931","63","2600","2600","2600"
"202021SHAH16321","63","16900","16900","16900"
"202021SHAH10368","63","12700","12700","12700"
"202021SHAH11126","63","13400","13400","13400"
"202021SHAH13789","63","16990","16990","16990"
"202021SHAH15125","63","23000","23000","23000"
"202021SHAH15799","63","33500","33500","33500"
"202021SHAH16224","63","7000","7000","7000"
"202021SHAH16234","63","3800","3800","3800"
"202021SHAH11356","63","14500","14500","14500"
"202021SHAH13259","63","11300","11300","11300"
"202021SHAH13585","63","73910","73910","73910"
"202021SHAH13586","63","38700","38700","38700"
"202021SHAH13785","63","119900","119900","119900"
"202021SHAH14028","63","16700","16700","16700"
"202021SHAH14565","63","83000","4390","4390"
"202021SHAH14590","63","6000","3000","3000"
"202021SHAH15897","63","129900","129900","129900"
"202021SHAH13362","63","11000","11000","11000"
"202021SHAH14477","63","16500","16500","16500"
"202021SHAH14570","63","10800","10800","10800"
"202021SHAH14736","63","12500","12500","12500"
"202021SHAH14956","63","42200","42200","42200"
"202021SHAH15280","63","13000","13000","13000"
"202021SHAH15289","63","13500","13500","13500"
"202021SHAH15658","63","1000","1000","1000"
"202021SHAH15724","63","12200","12200","12200"
"202021SHAH15725","63","23300","23300","23300"
"202021SHAH16091","63","13000","13000","13000"
"202021SHAH05248","63","10000","10000","10000"
"202021SHAH14676","63","42999","42999","42999"
"202021SHAH13415","63","500","500","500"
"202021SHAH13471","63","15300","15300","15300"
"202021SHAH14488","63","8500","8500","8500"
"202021SHAH14289","63","28000","28000","28000"
"202021SHAH16272","63","46000","46000","46000"
"201920SHAH04022","63","6400","6400","6400"
"201920SHAH04731","63","13920","13920","13920"
